"","x"
"GO:0000002","GO:0000082"
"GO:0000003","GO:0000278"
"GO:0000012","GO:0000281"
"GO:0000017","GO:0006302"
"GO:0000018","GO:0007052"
"GO:0000022","GO:0008283"
"GO:0000023","GO:0016579"
"GO:0000027","GO:0017148"
"GO:0000028","GO:0051289"
"GO:0000038","GO:0051301"
"GO:0000045","GO:0071346"
"GO:0000050","GO:1990830"
"GO:0000052","GO:0000775"
"GO:0000053","GO:0000781"
"GO:0000054","GO:0005694"
"GO:0000055","GO:0005819"
"GO:0000056","GO:0015630"
"GO:0000070","GO:0030496"
"GO:0000076","GO:0034774"
"GO:0000077","GO:0035861"
"GO:0000079","GO:0045171"
"GO:0000080","GO:0072686"
"GO:0000082","GO:1904813"
"GO:0000083","GO:0000287"
"GO:0000086","GO:0003676"
"GO:0000098","GO:0003697"
"GO:0000103","GO:0004197"
"GO:0000105","GO:0005200"
"GO:0000117","GO:0008017"
"GO:0000122","GO:0016887"
"GO:0000132","GO:0031072"
